PersonNumber,GrantNumber
96823,58882
98853,58882
8357,58883
122540,58884
7042,58884
8449,58884
6959,58887
9257,58887
9257,58887
98312,58887
10404,58888
34563,58888
8945,58888
9532,58888
111160,58889
121047,58889
82431,58889
90074,58889
118502,58890
95806,58890
112039,58891
122344,58891
505654,58891
57301,58891
75350,58891
111996,58892
69850,58892
118925,58893
53130,58893
9942,58893
121973,58894
69588,58894
31569,58895
19478,58896
2134,58896
4668,58896
13053,58897
106302,58898
54586,58898
15377,58900
96284,58900
9755,58900
124699,58901
129130,58901
134183,58901
13567,58901
13567,58901
17273,58901
40977,58901
57573,58901
57573,58901
22635,58903
3106,58903
9563,58903
98719,58903
98951,58903
124955,58904
29133,58904
503196,58904
112065,58909
119268,58909
100129,58910
12566,58910
18713,58911
72186,58911
9358,58911
10777,58912
126731,58912
32683,58912
500812,58912
62345,58912
95263,58912
105840,58913
105840,58913
122844,58913
122846,58913
131456,58913
14769,58913
507100,58913
508001,58913
513052,58913
105169,58914
129016,58914
3458,58914
121901,58915
33782,58915
49528,58916
504847,58916
514985,58916
8069,58916
111716,58917
112073,58917
126008,58917
139580,58917
8045,58917
81652,58917
9666,58917
112078,58923
112078,58923
19338,58923
21973,58923
24037,58923
72136,58924
82881,58924
106374,58925
119192,58926
119194,58926
121731,58926
41470,58926
12365,58927
135174,58927
71508,58927
12664,58930
14574,58930
2267,58930
110632,58932
40863,58934
40863,58934
118467,58935
43802,58935
8717,58935
112083,58936
112084,58936
121723,58936
121725,58936
121726,58936
121727,58936
121728,58936
125581,58936
87038,58936
112086,58937
11938,58937
3320,58937
9060,58937
93598,58937
118303,58938
16191,58938
500609,58938
112087,58940
119539,58940
13131,58940
99530,58940
122580,58941
2874,58941
119211,58943
3377,58943
